n_objects,train_ratio,trial_id,rank,true_rank,rmse,seed
500,0.5,0,12,10,0.0038355790336128395,100
500,0.5,1,8,10,0.01346759604068943,101
500,0.5,1,9,10,0.008665363292718282,101
500,0.5,1,10,10,0.002925166057564511,101
500,0.5,1,11,10,0.0036660485874739227,101
500,0.5,1,12,10,0.0046544214538865964,101
500,0.5,2,8,10,0.013643203405632362,102
500,0.5,2,9,10,0.007394749057480602,102
500,0.5,2,10,10,0.002724003597390658,102
500,0.5,2,11,10,0.003066457487715485,102
500,0.5,2,12,10,0.003507360094993435,102
500,0.5,3,8,10,0.013225378336175223,103
500,0.5,3,9,10,0.007565642214524546,103
500,0.5,3,10,10,0.002793860043482569,103
500,0.5,3,11,10,0.0033107455083327434,103
500,0.5,3,12,10,0.003996258390825452,103
500,0.5,4,8,10,0.012609181924268006,104
500,0.5,4,9,10,0.00694123474371837,104
500,0.5,4,10,10,0.002896444640833267,104
500,0.5,4,11,10,0.00338118432055978,104
500,0.5,4,12,10,0.004090861883639351,104
500,0.55,0,8,10,0.012503436799674287,105
500,0.55,0,9,10,0.006904579569233094,105
500,0.55,0,10,10,0.0013590891939077854,105
500,0.55,0,11,10,0.0013535604761745587,105
500,0.55,0,12,10,0.001422320057092961,105
500,0.55,1,8,10,0.012696551283170729,106
500,0.55,1,9,10,0.00660853984990908,106
500,0.55,1,10,10,0.0011985446959782936,106
500,0.55,1,11,10,0.001266673533902359,106
500,0.55,1,12,10,0.0015196399714296662,106
500,0.55,2,8,10,0.012069977652165274,107
500,0.55,2,9,10,0.005752280999468469,107
500,0.55,2,10,10,0.0011545299885320505,107
500,0.55,2,11,10,0.0012452911386733425,107
500,0.55,2,12,10,0.0015479403914944987,107
500,0.55,3,8,10,0.011470037232144813,108
500,0.55,3,9,10,0.006490357332328458,108
500,0.55,3,10,10,0.0010589251480976195,108
500,0.55,3,11,10,0.0013195605696384757,108
500,0.55,3,12,10,0.0015349586838194586,108
500,0.55,4,8,10,0.013109481947469574,109
500,0.55,4,9,10,0.006438291845207217,109
500,0.55,4,10,10,0.0013227383605636162,109
500,0.55,4,11,10,0.001162981136461193,109
500,0.55,4,12,10,0.001564619010670549,109
500,0.6,0,8,10,0.012108793961399215,110
500,0.6,0,9,10,0.005807040374786063,110
500,0.6,0,10,10,0.0008503248907258204,110
500,0.6,0,11,10,0.0005173365452732872,110
500,0.6,0,12,10,0.0007232378091368029,110
500,0.6,1,8,10,0.010266655183655432,111
500,0.6,1,9,10,0.005112377147398642,111
500,0.6,1,10,10,0.0006925661114727127,111
500,0.6,1,11,10,0.0006229466045899013,111
500,0.6,1,12,10,0.0006347583652276435,111
500,0.6,2,8,10,0.01142421455607182,112
500,0.6,2,9,10,0.005776245484044883,112
500,0.6,2,10,10,0.0007473754867433081,112
500,0.6,2,11,10,0.0006538990682727749,112
500,0.6,2,12,10,0.0006338420334075468,112
500,0.6,3,8,10,0.011684032382860901,113
500,0.6,3,9,10,0.005589514639985608,113
500,0.6,3,10,10,0.0007893630910869697,113
500,0.6,3,11,10,0.00056936783052962,113
500,0.6,3,12,10,0.0006890742689022845,113
500,0.6,4,8,10,0.01083486511996466,114
500,0.6,4,9,10,0.005899026188072405,114
500,0.6,4,10,10,0.0009000272775689495,114
500,0.6,4,11,10,0.0006347226085949767,114
500,0.6,4,12,10,0.0008239308042698113,114
500,0.65,0,8,10,0.010515263900107857,115
500,0.65,0,9,10,0.004925830906987328,115
500,0.65,0,10,10,0.00039395971866944214,115
500,0.65,0,11,10,0.0003311301525289314,115
500,0.65,0,12,10,0.0003802513946961501,115
500,0.65,1,8,10,0.011082470366815011,116
500,0.65,1,9,10,0.005801752915073972,116
500,0.65,1,10,10,0.0005310222092837091,116
